,open,high,low,close,adjclose,volume,ticker
2024-01-02,49.24399948120117,49.29499816894531,47.595001220703125,48.167999267578125,48.15766525268555,411254000,NVDA
2024-01-03,47.48500061035156,48.183998107910156,47.31999969482422,47.569000244140625,47.55879592895508,320896000,NVDA
2024-01-04,47.766998291015625,48.5,47.507999420166016,47.99800109863281,47.98770523071289,306535000,NVDA
2024-01-05,48.46200180053711,49.547000885009766,48.305999755859375,49.09700012207031,49.086463928222656,415039000,NVDA
2024-01-08,49.512001037597656,52.275001525878906,49.479000091552734,52.25299835205078,52.24178695678711,642510000,NVDA
2024-01-09,52.4010009765625,54.32500076293945,51.689998626708984,53.13999938964844,53.12860107421875,773100000,NVDA
2024-01-10,53.61600112915039,54.599998474121094,53.48899841308594,54.349998474121094,54.33833694458008,533796000,NVDA
2024-01-11,54.999000549316406,55.34600067138672,53.560001373291016,54.821998596191406,54.810237884521484,596759000,NVDA
2024-01-12,54.619998931884766,54.970001220703125,54.33000183105469,54.709999084472656,54.69825744628906,352994000,NVDA
2024-01-16,55.018001556396484,56.834999084472656,54.900001525878906,56.38199996948242,56.369903564453125,449580000,NVDA
2024-01-17,56.34700012207031,56.47100067138672,54.7400016784668,56.053001403808594,56.04097366333008,474394000,NVDA
2024-01-18,57.2599983215332,57.599998474121094,56.106998443603516,57.106998443603516,57.09474563598633,491650000,NVDA
2024-01-19,57.98899841308594,59.5,57.224998474121094,59.49100112915039,59.47823715209961,543501000,NVDA
2024-01-22,60.04899978637695,60.33100128173828,59.06999969482422,59.65399932861328,59.641204833984375,452955000,NVDA
2024-01-23,59.56999969482422,59.90999984741211,58.584999084472656,59.87300109863281,59.86015701293945,294654000,NVDA
2024-01-24,60.30400085449219,62.8489990234375,59.9379997253418,61.36199951171875,61.34883499145508,560271000,NVDA
2024-01-25,62.349998474121094,62.71900177001953,60.849998474121094,61.617000579833984,61.60377883911133,482777000,NVDA
2024-01-26,60.959999084472656,61.78300094604492,60.573001861572266,61.03099822998047,61.017906188964844,390309000,NVDA
2024-01-29,61.231998443603516,62.48899841308594,60.90700149536133,62.46500015258789,62.45159912109375,348733000,NVDA
2024-01-30,62.900001525878906,63.49300003051758,62.2599983215332,62.77399826049805,62.760528564453125,410735000,NVDA
2024-01-31,61.439998626708984,62.26900100708008,60.70000076293945,61.527000427246094,61.51380157470703,453795000,NVDA
2024-02-01,62.099998474121094,63.191001892089844,61.650001525878906,63.027000427246094,63.01347732543945,369146000,NVDA
2024-02-02,63.9739990234375,66.5999984741211,63.689998626708984,66.16000366210938,66.14580535888672,476578000,NVDA
2024-02-05,68.2249984741211,69.49700164794922,67.20500183105469,69.33200073242188,69.31713104248047,680078000,NVDA
2024-02-06,69.62999725341797,69.75399780273438,66.30000305175781,68.2229995727539,68.20836639404297,683111000,NVDA
2024-02-07,68.31900024414062,70.22000122070312,67.5999984741211,70.0989990234375,70.08395385742188,495575000,NVDA
2024-02-08,70.0739974975586,70.79399871826172,69.45500183105469,69.64099884033203,69.62605285644531,414422000,NVDA
2024-02-09,70.53299713134766,72.18499755859375,70.21199798583984,72.13300323486328,72.11752319335938,436637000,NVDA
2024-02-12,72.5999984741211,74.61100006103516,71.25,72.24800109863281,72.23249816894531,613710000,NVDA
2024-02-13,70.4000015258789,73.44999694824219,69.62000274658203,72.12799835205078,72.11251831054688,602580000,NVDA
2024-02-14,73.2020034790039,74.23600006103516,71.93800354003906,73.9000015258789,73.88414764404297,504917000,NVDA
2024-02-15,73.86900329589844,73.9749984741211,72.4000015258789,72.65799713134766,72.64241027832031,420122000,NVDA
2024-02-16,74.0999984741211,74.4020004272461,72.5009994506836,72.61299896240234,72.59741973876953,495327000,NVDA
2024-02-20,71.9469985961914,71.95600128173828,67.73400115966797,69.4520034790039,69.43709564208984,704833000,NVDA
2024-02-21,68.00599670410156,68.88800048828125,66.24800109863281,67.47200012207031,67.45752716064453,690298000,NVDA
2024-02-22,75.0250015258789,78.57499694824219,74.22000122070312,78.53800201416016,78.52114868164062,865100000,NVDA
2024-02-23,80.79000091552734,82.39399719238281,77.56999969482422,78.81700134277344,78.80007934570312,829388000,NVDA
2024-02-26,79.69999694824219,80.64600372314453,78.50499725341797,79.09200286865234,79.07503509521484,503973000,NVDA
2024-02-27,79.38099670410156,79.4800033569336,77.16200256347656,78.70099639892578,78.68411254882812,391705000,NVDA
2024-02-28,77.62000274658203,78.93299865722656,77.125,77.66300201416016,77.6463394165039,393110000,NVDA
2024-02-29,79.09400177001953,79.98999786376953,78.3499984741211,79.11199951171875,79.09502410888672,507289000,NVDA
2024-03-01,80.0,82.30000305175781,79.43499755859375,82.27899932861328,82.26134490966797,479135000,NVDA
2024-03-04,84.12999725341797,87.69499969482422,83.71900177001953,85.23699951171875,85.21870422363281,615616000,NVDA
